RIDDLE,WORD 1 (Adjective),WORD 2 (Noun)
A picture of a hot bread-making device,Toaster,Poster
An amusing hare,Funny,Bunny
A craven string instrument,Yellow,Cello
A bee trip,Bumble,Stumble
Sparkly trash,Glitter,Litter
A silent yet violent protest,Quiet,Riot
A furry magical forest creature,Hairy,Fairy
A timid act of kindness,Nervous,Service
A smelly little finger,Stinky,Pinky
A very small winter hat,Teeny,Beanie
A wet pet,Soggy,Doggy
A pathetic cut of chicken,Slender,Tender
A tattletale's pants,Snitches,Britches
An unreliable cucumber,Fickle,Pickle
A fat primate,Chunky,Monkey
A slothful flower,Lazy,Daisy
A grumpy united States citizen,Cranky,Yankee
A nonsensical flower,Silly,Lilly
A fake horse,Phony,Pony
A clever cat,Witty,Kitty
A beautiful town,Pretty,City
A learner with good judgement,Prudent,Student
A slender bird,Narrow,Sparrow
An insane flower,Crazy,Daisy
A muddy pidgeon,Dirty,Birdie
A fruit convict,Melon,Felon
A smelly baboon,Funky,Monkey
A brilliant crowbar,Clever,Lever
Putrid clothing fiber,Rotten,Cotton
A crocodile betrayer,Gator,Traitor
A monster living under tiered sports seating,Bleacher,Creature
An educator attribute,Teacher,Feature
Indigenous scripture,Tribal,Bible
